FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL00711,SINSYD262,SIN,SYD,2024-01-26,501,A380,555,515,51443250.38,783404.24
FL00712,BOSMIA977,BOS,MIA,2024-05-30,192,A320,180,127,666483.28,172663.94
FL00713,MIABOS172,MIA,BOS,2024-09-13,176,A320,180,93,549367.24,175629.34
FL00714,DENDFW439,DEN,DFW,2024-08-18,126,A320,180,69,100421.44,166298.14
FL00715,MAADEL655,MAA,DEL,2024-12-20,154,A320,180,180,824641.32,172415.03
FL00716,BLRBOM564,BLR,BOM,2024-11-20,109,B737,162,130,535327.02,151578.09
FL00717,FRABLR286,FRA,BLR,2024-07-12,611,A380,555,317,15809760.92,813019.93
FL00718,SINMAA969,SIN,MAA,2024-03-15,299,A320,180,133,2038459.07,189498.24
FL00719,MIABOS172,MIA,BOS,2024-04-02,180,A320,180,61,91878.73,175235.54
FL00720,DELBOM405,DEL,BOM,2024-09-12,124,A320,180,112,644929.36,205795.67
FL00721,LAXNRT573,LAX,NRT,2024-07-28,684,B777,350,262,8000097.81,588048.85
FL00722,FRABLR286,FRA,BLR,2024-04-16,591,A380,555,190,8419371.94,790562.89
FL00723,LAXNRT573,LAX,NRT,2024-11-04,681,B777,350,330,11574369.44,562973.98
FL00724,BOMCCU689,BOM,CCU,2024-11-08,157,B737,162,140,642901.3,158579.77
FL00725,LHRDXB596,LHR,DXB,2024-01-19,434,B777,350,161,8443105.55,621368.96
FL00726,SINSYD262,SIN,SYD,2024-10-08,502,B777,350,159,6184600.51,512111.9
FL00727,DXBDEL706,DXB,DEL,2024-04-17,205,A320,180,150,2202069.62,177998.26
FL00728,DXBDEL706,DXB,DEL,2024-09-04,198,B777,350,291,16014018.32,385018.63
FL00729,BLRFRA643,BLR,FRA,2024-05-12,608,A380,555,555,38186946.2,797559.62
FL00730,PHXLAS165,PHX,LAS,2024-11-19,62,A320,180,163,580205.65,155170.72
FL00731,DELCCU927,DEL,CCU,2024-01-13,136,A320,180,180,1159091.56,164751.56
FL00732,SFOSEA804,SFO,SEA,2024-06-19,123,A320,180,179,777422.72,163652.92
FL00733,BOMGOI330,BOM,GOI,2024-02-04,74,A320,180,122,131263.77,154867.28
FL00734,LAXJFK190,LAX,JFK,2024-10-18,328,B737,162,107,151705.68,182617.49
FL00735,KTMDEL629,KTM,DEL,2024-08-30,119,B737,162,123,1955100.85,152559.61
FL00736,DACCCU362,DAC,CCU,2024-07-30,67,A320,180,104,1119272.4,154302.01
FL00737,JFKLAX182,JFK,LAX,2024-01-10,329,B777,350,350,3615380.33,442159.65
FL00738,DELMAA878,DEL,MAA,2024-05-23,157,B777,350,284,2132445.92,370144.38
FL00739,DELSIN670,DEL,SIN,2024-04-05,450,A380,555,512,39966754.89,745899.96
FL00740,HKGSFO785,HKG,SFO,2024-07-30,696,B777,350,172,6777570.72,589754.18
FL00741,CCUDEL674,CCU,DEL,2024-03-30,131,B737,162,72,114534.0,155743.41
FL00742,DELDXB146,DEL,DXB,2024-09-04,201,A320,180,121,2077963.46,176568.01
FL00743,GOIBOM673,GOI,BOM,2024-03-14,57,B737,162,90,92121.24,145017.08
FL00744,CCUDEL674,CCU,DEL,2024-08-23,118,B737,162,135,110295.04,153848.35
FL00745,NRTLAX296,NRT,LAX,2024-02-14,699,A380,555,439,19691502.51,900745.36
FL00746,GOIBOM673,GOI,BOM,2024-06-08,70,A320,180,137,590216.53,228681.4
FL00747,JFKLAX182,JFK,LAX,2024-12-09,337,B777,350,144,1105794.71,420745.93
FL00748,LHRBOM617,LHR,BOM,2024-04-15,585,B777,350,284,11663427.51,543276.26
FL00749,BOMGOI330,BOM,GOI,2024-03-28,57,A320,180,72,100658.31,155387.05
FL00750,BOMDEL453,BOM,DEL,2024-12-11,128,A320,180,88,102902.1,163609.86
FL00751,BLRFRA643,BLR,FRA,2024-11-18,596,A380,555,480,34937423.12,811308.03
FL00752,HKGSFO785,HKG,SFO,2024-09-30,689,A380,555,310,24354437.95,890477.92
FL00753,BOMDXB422,BOM,DXB,2024-12-23,176,B737,162,152,3599057.58,162075.57
FL00754,LASPHX403,LAS,PHX,2024-04-24,58,A320,180,99,74126.59,155327.06
FL00755,SFOHKG814,SFO,HKG,2024-06-18,702,A380,555,555,40554318.2,843116.57
FL00756,BLRBOM564,BLR,BOM,2024-08-24,109,A320,180,116,85343.96,162070.81
FL00757,BOMBLR153,BOM,BLR,2024-02-24,105,A320,180,130,609359.27,161962.32
FL00758,SINDEL765,SIN,DEL,2024-11-13,446,B777,350,236,5713443.03,463398.8
FL00759,BOMDXB422,BOM,DXB,2024-08-08,169,B737,162,113,2113400.55,161313.73
FL00760,CCUBOM220,CCU,BOM,2024-02-09,162,B737,162,120,64936.68,156791.49
FL00761,BOSMIA977,BOS,MIA,2024-02-19,175,A320,180,104,526500.26,172275.07
FL00762,NRTLAX296,NRT,LAX,2024-07-13,680,A380,555,422,19425936.96,853225.62
FL00763,CCUDAC142,CCU,DAC,2024-11-21,55,A320,180,159,3281365.53,154198.55
FL00764,DFWDEN334,DFW,DEN,2024-08-16,133,B737,162,125,70175.93,153964.73
FL00765,GOIBOM673,GOI,BOM,2024-08-10,72,B737,162,137,696093.72,145089.59
FL00766,DELDXB146,DEL,DXB,2024-03-06,185,A320,180,98,1935193.74,179381.56
FL00767,HKGSFO785,HKG,SFO,2024-07-02,705,B777,350,119,3704801.92,567948.37
FL00768,DENDFW439,DEN,DFW,2024-12-30,127,B737,162,146,792552.13,154240.99
FL00769,DELHYD177,DEL,HYD,2024-07-15,134,A320,180,121,490217.25,164451.95
FL00770,DELHYD177,DEL,HYD,2024-02-06,117,A320,180,103,123552.85,165671.16
FL00771,MAADEL655,MAA,DEL,2024-07-31,171,A320,180,151,713822.14,173330.6
FL00772,CCUBOM220,CCU,BOM,2024-08-05,162,A320,180,126,491512.97,168629.31
FL00773,DELBOM405,DEL,BOM,2024-05-01,107,B737,162,127,766246.46,152988.99
FL00774,DELBLR942,DEL,BLR,2024-12-26,173,B737,162,160,1070127.19,157563.13
FL00775,DXBLHR145,DXB,LHR,2024-05-23,447,B777,350,249,15825316.94,461596.56
FL00776,JFKLHR189,JFK,LHR,2024-12-08,436,A380,555,318,30480617.26,721509.36
FL00777,DACCCU362,DAC,CCU,2024-01-06,59,A320,180,173,3854656.56,154458.04
FL00778,ORDATL400,ORD,ATL,2024-05-30,156,B777,350,243,2439388.08,364933.4
FL00779,DELJFK372,DEL,JFK,2024-02-01,576,B777,350,245,10249486.04,533473.39
FL00780,JFKDEL155,JFK,DEL,2024-01-14,575,A380,555,432,35493939.9,837183.95
FL00781,DELAMD347,DEL,AMD,2024-05-23,107,A320,180,141,833950.79,161526.5
FL00782,LHRDXB596,LHR,DXB,2024-08-16,437,B777,350,215,10618941.0,466602.32
FL00783,JFKDEL155,JFK,DEL,2024-01-17,571,B777,350,273,12339675.39,545957.5
FL00784,DXBBOM181,DXB,BOM,2024-07-30,168,A320,180,114,1872860.2,173718.07
FL00785,DELSIN670,DEL,SIN,2024-06-25,454,A380,555,228,20242496.71,709711.89
FL00786,DENDFW439,DEN,DFW,2024-08-31,134,A320,180,143,619408.16,164611.71
FL00787,DFWDEN334,DFW,DEN,2024-03-15,124,A320,180,118,88662.29,165976.26
FL00788,NRTLAX296,NRT,LAX,2024-09-28,689,B777,350,222,12993266.57,574857.16
FL00789,FRABLR286,FRA,BLR,2024-05-19,602,A380,555,436,9686352.16,837032.79
FL00790,BOSMIA977,BOS,MIA,2024-05-03,194,B737,162,147,588784.1,161733.11
FL00791,CCUBOM220,CCU,BOM,2024-01-06,146,A320,180,180,735975.89,284186.14
FL00792,NRTLAX296,NRT,LAX,2024-04-22,677,B777,350,248,8597943.64,573885.51
FL00793,BLRFRA643,BLR,FRA,2024-04-21,609,A380,555,468,35738786.83,796827.08
FL00794,DELHYD177,DEL,HYD,2024-11-27,121,A320,180,173,1002397.36,165795.66
FL00795,BOMGOI330,BOM,GOI,2024-02-08,74,A320,180,144,108161.07,155367.26
FL00796,SYDSIN316,SYD,SIN,2024-05-11,502,A380,555,394,34263361.04,759025.17
FL00797,BLRDEL424,BLR,DEL,2024-05-15,162,A320,180,128,847537.06,169713.79
FL00798,CCUBOM220,CCU,BOM,2024-02-25,157,B737,162,71,77084.57,158903.85
FL00799,HKGSFO785,HKG,SFO,2024-01-18,702,B777,350,193,9383529.1,568725.04
FL00800,HYDDEL202,HYD,DEL,2024-01-01,125,B737,162,162,742884.03,154492.67
FL00801,DELSIN670,DEL,SIN,2024-12-28,464,B777,350,333,18191213.39,490236.32
FL00802,JFKDEL155,JFK,DEL,2024-10-03,570,A380,555,440,34941610.26,832008.31
FL00803,DELSIN670,DEL,SIN,2024-07-02,460,B777,350,229,7263016.8,495513.06
FL00804,MAADEL655,MAA,DEL,2024-06-23,157,A320,180,85,92406.15,172017.9
FL00805,LHRBOM617,LHR,BOM,2024-07-15,582,B777,350,228,9086836.22,506175.38
FL00806,ORDATL400,ORD,ATL,2024-11-19,151,A320,180,124,107572.17,166376.51
FL00807,HYDBLR645,HYD,BLR,2024-02-02,82,A320,180,129,518002.74,156673.74
FL00808,MIABOS172,MIA,BOS,2024-01-09,175,B777,350,133,1365963.71,545670.43
FL00809,CCUDEL674,CCU,DEL,2024-12-07,140,B737,162,162,1038660.55,154558.02
FL00810,SINDEL765,SIN,DEL,2024-02-06,459,B777,350,101,4412986.29,477375.19
FL00811,DELBLR942,DEL,BLR,2024-11-28,175,A320,180,63,74834.34,170203.78
FL00812,BOMBLR153,BOM,BLR,2024-03-28,112,A320,180,98,93308.55,160879.41
FL00813,JFKDEL155,JFK,DEL,2024-02-02,588,A380,555,363,24807210.24,846633.07
FL00814,DENDFW439,DEN,DFW,2024-12-16,136,A320,180,144,973443.42,165962.51
FL00815,DELBLR942,DEL,BLR,2024-06-20,161,B737,162,67,131663.28,157933.63
FL00816,LHRBOM617,LHR,BOM,2024-05-04,579,B777,350,244,9782947.02,539022.41
FL00817,DFWDEN334,DFW,DEN,2024-01-09,134,B737,162,126,479032.52,155030.87
FL00818,LHRJFK256,LHR,JFK,2024-05-25,441,B777,350,347,20844329.02,483235.7
FL00819,HYDDEL202,HYD,DEL,2024-09-24,132,B737,162,114,61866.8,154467.31
FL00820,CCUBOM220,CCU,BOM,2024-11-09,143,B737,162,136,696606.86,157723.98
FL00821,LHRBOM617,LHR,BOM,2024-03-01,577,B777,350,286,5777609.92,539703.85
FL00822,DELDXB146,DEL,DXB,2024-11-16,206,A320,180,129,2011389.3,178386.73
FL00823,MAASIN314,MAA,SIN,2024-08-30,286,B777,350,213,11245538.38,662691.25
FL00824,BOMGOI330,BOM,GOI,2024-05-08,76,A320,180,179,1067729.96,245734.95
FL00825,BLRDEL424,BLR,DEL,2024-03-31,157,B777,350,187,1178232.07,364607.5
FL00826,DXBLHR145,DXB,LHR,2024-10-23,456,B777,350,253,13820446.23,469634.21
FL00827,BLRBOM564,BLR,BOM,2024-02-20,95,A320,180,117,89534.05,162890.14
FL00828,LASPHX403,LAS,PHX,2024-01-28,65,A320,180,145,1023171.37,155436.53
FL00829,ATLORD193,ATL,ORD,2024-04-09,155,A320,180,173,678327.71,166781.71
FL00830,DELSIN670,DEL,SIN,2024-03-10,447,B777,350,128,4900574.32,487348.67
FL00831,CCUDAC142,CCU,DAC,2024-03-21,63,A320,180,129,2204458.8,153937.02
FL00832,MAASIN314,MAA,SIN,2024-07-29,289,B737,162,115,2370747.84,178527.53
FL00833,AMDDEL683,AMD,DEL,2024-08-07,107,A320,180,114,106712.34,161466.71
FL00834,HYDDEL202,HYD,DEL,2024-01-03,129,B777,350,267,3016036.93,357147.77
FL00835,DELBLR942,DEL,BLR,2024-07-20,157,A320,180,146,734852.73,170870.33
FL00836,MAADEL655,MAA,DEL,2024-01-07,159,B737,162,148,657009.24,158950.52
FL00837,LHRJFK256,LHR,JFK,2024-01-09,458,A380,555,484,44244690.62,751423.6
FL00838,SINDEL765,SIN,DEL,2024-08-20,451,B777,350,211,10014308.52,467499.89
FL00839,JFKLHR189,JFK,LHR,2024-11-20,451,B777,350,166,7327528.88,483180.83
FL00840,DELBLR942,DEL,BLR,2024-05-18,171,A320,180,165,894453.65,255483.73
FL00841,MAADEL655,MAA,DEL,2024-06-20,153,B737,162,114,693739.39,160297.48
FL00842,BLRBOM564,BLR,BOM,2024-08-26,95,A320,180,121,112326.59,162029.7
FL00843,LHRBOM617,LHR,BOM,2024-04-14,583,A380,555,219,15285262.51,817863.46
FL00844,SINSYD262,SIN,SYD,2024-12-25,500,B777,350,350,16731458.15,492448.03
FL00845,DELDXB146,DEL,DXB,2024-05-21,188,B737,162,72,1375275.42,164449.72
FL00846,LASPHX403,LAS,PHX,2024-12-13,74,B737,162,162,833778.79,144888.28
FL00847,SFOHKG814,SFO,HKG,2024-02-03,692,A380,555,438,19417321.86,874873.04
FL00848,BOMGOI330,BOM,GOI,2024-02-09,59,B737,162,52,74377.71,144995.5
FL00849,DXBDEL706,DXB,DEL,2024-01-12,196,B777,350,350,20314872.42,377229.23
FL00850,SFOSEA804,SFO,SEA,2024-11-26,117,A320,180,64,77777.74,164118.56
FL00851,LHRJFK256,LHR,JFK,2024-10-23,457,B777,350,311,13898057.2,479857.15
FL00852,DXBDEL706,DXB,DEL,2024-08-15,210,B737,162,119,2346826.14,163411.78
FL00853,DELAMD347,DEL,AMD,2024-07-09,103,A320,180,144,92477.96,160910.98
FL00854,BOMCCU689,BOM,CCU,2024-03-23,165,B737,162,99,130696.29,159686.45
FL00855,DACCCU362,DAC,CCU,2024-03-19,60,B737,162,91,1770269.61,143951.62
FL00856,DELAMD347,DEL,AMD,2024-04-15,100,A320,180,114,482305.29,160888.21
FL00857,MIABOS172,MIA,BOS,2024-03-24,196,B737,162,91,130208.49,164646.66
FL00858,HYDDEL202,HYD,DEL,2024-06-12,133,B777,350,350,2904367.42,612861.98
FL00859,HKGSFO785,HKG,SFO,2024-05-28,712,B777,350,340,22660575.8,580841.45
FL00860,DELSIN670,DEL,SIN,2024-08-14,461,A380,555,329,19966102.39,709022.09
FL00861,LHRBOM617,LHR,BOM,2024-01-13,561,B777,350,350,8254792.62,505541.72
FL00862,BLRFRA643,BLR,FRA,2024-10-25,592,A380,555,521,25209045.13,802525.65
FL00863,BOMLHR621,BOM,LHR,2024-12-12,570,A380,555,433,35701567.06,785460.4
FL00864,BLRFRA643,BLR,FRA,2024-01-29,601,A380,555,497,32515663.35,852040.22
FL00865,DFWDEN334,DFW,DEN,2024-05-25,118,A320,180,144,725163.96,165204.04
FL00866,DXBLHR145,DXB,LHR,2024-07-31,445,A380,555,360,25975481.31,755586.14
FL00867,DXBLHR145,DXB,LHR,2024-03-12,448,A380,555,391,6881084.42,719260.94
FL00868,LAXJFK190,LAX,JFK,2024-10-29,331,A320,180,123,119261.51,202631.54
FL00869,CCUBOM220,CCU,BOM,2024-12-29,152,B737,162,162,709973.89,159658.31
FL00870,LHRBOM617,LHR,BOM,2024-06-03,560,B777,350,280,15045981.27,521995.02
FL00871,DELJFK372,DEL,JFK,2024-05-14,588,B777,350,325,18210028.42,509543.99
FL00872,DACCCU362,DAC,CCU,2024-04-01,54,A320,180,155,2502211.94,153890.28
FL00873,PHXLAS165,PHX,LAS,2024-02-04,61,B737,162,103,118814.36,144962.74
FL00874,JFKLHR189,JFK,LHR,2024-12-21,443,A380,555,500,46401200.13,1014825.38
FL00875,BOMCCU689,BOM,CCU,2024-03-15,151,B737,162,128,127800.38,156987.09
FL00876,ATLORD193,ATL,ORD,2024-07-01,139,A320,180,62,79576.85,166581.25
FL00877,SYDSIN316,SYD,SIN,2024-02-18,513,A380,555,320,16682213.58,754872.04
FL00878,JFKDEL155,JFK,DEL,2024-12-16,571,B777,350,314,18153978.6,519772.07
FL00879,DELBOM405,DEL,BOM,2024-05-24,109,A320,180,156,736823.86,165185.15
FL00880,CCUDEL674,CCU,DEL,2024-04-23,133,A320,180,162,791105.79,166406.89
FL00881,MAASIN314,MAA,SIN,2024-10-09,278,B777,350,331,15646127.18,424865.36
FL00882,BOMDXB422,BOM,DXB,2024-01-09,181,A320,180,157,3281125.51,174618.27
FL00883,DXBDEL706,DXB,DEL,2024-06-24,189,B737,162,129,2886741.83,162411.41
FL00884,MAASIN314,MAA,SIN,2024-12-18,297,B777,350,279,12476620.91,407326.3
FL00885,SINSYD262,SIN,SYD,2024-02-09,493,A380,555,205,11425337.52,747396.41
FL00886,DELJFK372,DEL,JFK,2024-10-30,588,A380,555,194,11940381.98,780437.7
FL00887,DELBOM405,DEL,BOM,2024-03-04,117,B737,162,95,125310.95,151899.25
FL00888,BOMDEL453,BOM,DEL,2024-05-22,129,A320,180,147,615835.23,163939.93
FL00889,FRABLR286,FRA,BLR,2024-10-18,612,B777,350,195,11129716.33,536278.11
FL00890,DELCCU927,DEL,CCU,2024-03-28,123,B777,350,240,1905163.26,353550.28
FL00891,DELKTM414,DEL,KTM,2024-12-28,105,B737,162,162,2845682.2,152682.93
FL00892,CCUBOM220,CCU,BOM,2024-07-13,153,B737,162,117,94449.17,159375.31
FL00893,BLRBOM564,BLR,BOM,2024-09-23,94,A320,180,92,485555.16,162025.41
FL00894,MAADEL655,MAA,DEL,2024-02-29,166,A320,180,119,542434.17,172200.29
FL00895,BLRHYD297,BLR,HYD,2024-05-28,82,A320,180,152,951081.94,156581.08
FL00896,LASPHX403,LAS,PHX,2024-07-07,67,B737,162,141,556958.25,144600.0
FL00897,DXBDEL706,DXB,DEL,2024-02-13,208,B737,162,57,961217.89,166984.59
FL00898,KTMDEL629,KTM,DEL,2024-03-27,114,B737,162,79,1088101.47,152473.79
FL00899,BLRBOM564,BLR,BOM,2024-08-05,101,A320,180,116,553469.63,162089.54
FL00900,SINSYD262,SIN,SYD,2024-11-25,507,A380,555,413,15207528.39,794410.16
FL00901,DELDXB146,DEL,DXB,2024-08-20,189,A320,180,60,1019010.07,177409.58
FL00902,BOMDEL453,BOM,DEL,2024-01-28,125,A320,180,172,711506.62,162963.73
FL00903,NRTLAX296,NRT,LAX,2024-06-04,700,B777,350,252,9928185.77,581011.77
FL00904,PHXLAS165,PHX,LAS,2024-04-13,78,B737,162,129,570448.68,145079.35
FL00905,SINMAA969,SIN,MAA,2024-01-10,287,B777,350,265,14427969.4,424842.49
FL00906,MIABOS172,MIA,BOS,2024-07-11,196,A320,180,102,133562.14,175432.83
FL00907,GOIBOM673,GOI,BOM,2024-03-25,56,B737,162,92,67012.93,144985.84
FL00908,DELSIN670,DEL,SIN,2024-12-03,445,A380,555,539,43382762.59,737971.44
FL00909,DELDXB146,DEL,DXB,2024-05-14,194,A320,180,180,3992263.8,175808.85
FL00910,JFKLAX182,JFK,LAX,2024-10-29,318,A320,180,101,107367.54,200819.22
FL00911,SINSYD262,SIN,SYD,2024-06-23,493,A380,555,470,45204347.57,1173068.48
FL00912,LAXNRT573,LAX,NRT,2024-04-30,685,B777,350,290,16915846.02,544030.46
FL00913,BLRBOM564,BLR,BOM,2024-01-11,109,A320,180,137,846819.97,161677.02
FL00914,DACCCU362,DAC,CCU,2024-01-11,58,A320,180,178,5157641.06,246390.48
FL00915,JFKLAX182,JFK,LAX,2024-09-07,342,B777,350,171,1139041.83,432707.17
FL00916,LAXNRT573,LAX,NRT,2024-11-10,701,B777,350,336,13170354.26,574750.44
FL00917,DELMAA878,DEL,MAA,2024-10-01,177,B737,162,121,495399.34,159866.74
FL00918,BLRHYD297,BLR,HYD,2024-02-17,75,B737,162,113,73487.69,145280.77
FL00919,JFKDEL155,JFK,DEL,2024-08-06,592,B777,350,283,13076678.51,517533.46
FL00920,GOIBOM673,GOI,BOM,2024-10-03,74,A320,180,145,617132.42,155472.26
FL00921,SINSYD262,SIN,SYD,2024-01-10,513,B777,350,336,15638737.51,740379.72
FL00922,BOMDXB422,BOM,DXB,2024-08-27,175,B737,162,123,2324824.15,162731.06
FL00923,KTMDEL629,KTM,DEL,2024-11-16,125,B737,162,58,1013107.12,151529.88
FL00924,NRTLAX296,NRT,LAX,2024-08-10,689,A380,555,460,34893730.88,889288.97
FL00925,AMDDEL683,AMD,DEL,2024-11-26,93,B737,162,139,520561.56,149743.73
FL00926,DELCCU927,DEL,CCU,2024-06-07,118,A320,180,162,811265.99,275323.45
FL00927,DELCCU927,DEL,CCU,2024-03-10,137,A320,180,80,140598.06,165930.02
FL00928,MAASIN314,MAA,SIN,2024-09-05,284,A320,180,115,2665959.8,189537.61
FL00929,SINMAA969,SIN,MAA,2024-07-27,298,A320,180,139,2885527.7,190282.53
FL00930,DXBBOM181,DXB,BOM,2024-02-27,180,A320,180,122,1535064.9,173851.71
FL00931,SYDSIN316,SYD,SIN,2024-05-08,502,A380,555,398,21118021.47,783373.92
FL00932,LAXJFK190,LAX,JFK,2024-07-18,321,B777,350,277,2288349.73,425720.5
FL00933,CCUBOM220,CCU,BOM,2024-05-20,154,A320,180,140,764856.18,169956.0
FL00934,SFOHKG814,SFO,HKG,2024-06-11,712,A380,555,480,30812771.03,1120289.82
FL00935,KTMDEL629,KTM,DEL,2024-08-31,121,A320,180,147,1816161.67,258754.41
FL00936,DELBLR942,DEL,BLR,2024-12-05,158,B737,162,124,812744.46,160053.97
FL00937,LHRBOM617,LHR,BOM,2024-11-23,567,B777,350,261,14532677.86,506853.33
FL00938,MAASIN314,MAA,SIN,2024-01-05,277,B777,350,318,22955455.98,411031.9
FL00939,KTMDEL629,KTM,DEL,2024-04-30,112,B737,162,149,2143263.35,253538.15
FL00940,CCUDAC142,CCU,DAC,2024-11-25,61,B737,162,102,2201948.95,144162.25
FL00941,LASPHX403,LAS,PHX,2024-06-19,75,B737,162,162,929670.84,194939.17
FL00942,DELAMD347,DEL,AMD,2024-06-29,111,B737,162,156,777395.0,149942.42
FL00943,BOMDEL453,BOM,DEL,2024-11-24,118,B737,162,136,699498.14,151763.74
FL00944,DELCCU927,DEL,CCU,2024-06-09,141,B737,162,117,486357.43,155114.87
FL00945,DXBBOM181,DXB,BOM,2024-03-07,177,B737,162,118,2089745.63,160278.6
FL00946,SINMAA969,SIN,MAA,2024-05-13,277,B777,350,319,14946470.32,411581.96
FL00947,SFOSEA804,SFO,SEA,2024-07-20,101,A320,180,154,798713.25,162452.16
FL00948,KTMDEL629,KTM,DEL,2024-11-09,124,B737,162,152,3448287.39,151417.78
FL00949,MAASIN314,MAA,SIN,2024-07-24,280,A320,180,134,1822496.7,195319.3
FL00950,DELSIN670,DEL,SIN,2024-09-26,443,B777,350,330,15180037.08,484356.85
FL00951,BLRHYD297,BLR,HYD,2024-04-07,69,B737,162,147,561662.18,145853.2
FL00952,DELHYD177,DEL,HYD,2024-04-15,126,A320,180,174,720188.01,165734.72
FL00953,CCUBOM220,CCU,BOM,2024-03-15,150,A320,180,88,100736.04,169784.45
FL00954,ATLORD193,ATL,ORD,2024-11-27,155,B737,162,101,83163.04,156098.16
FL00955,DENDFW439,DEN,DFW,2024-07-15,113,B737,162,128,87456.26,152541.65
FL00956,BLRDEL424,BLR,DEL,2024-04-30,175,A320,180,134,121887.46,171873.35
FL00957,BLRFRA643,BLR,FRA,2024-01-24,611,A380,555,294,22440397.66,861348.9
FL00958,ATLORD193,ATL,ORD,2024-10-13,143,A320,180,66,97932.05,168236.35
FL00959,CCUDAC142,CCU,DAC,2024-02-15,47,A320,180,123,1571532.24,153887.96
FL00960,DELHYD177,DEL,HYD,2024-05-23,132,A320,180,180,542087.09,166393.89
FL00961,DXBBOM181,DXB,BOM,2024-05-15,177,B737,162,138,1532106.97,162198.12
FL00962,SINSYD262,SIN,SYD,2024-10-11,496,A380,555,495,41517935.17,738469.47
FL00963,BLRDEL424,BLR,DEL,2024-01-19,165,A320,180,146,812272.52,169324.97
FL00964,DELBLR942,DEL,BLR,2024-12-29,154,A320,180,169,746045.51,172098.31
FL00965,BLRBOM564,BLR,BOM,2024-04-14,101,A320,180,123,184211.02,222866.71
FL00966,DELSIN670,DEL,SIN,2024-10-26,445,A380,555,555,28502828.9,749314.03
FL00967,SFOSEA804,SFO,SEA,2024-05-06,122,B777,350,330,3258630.79,347718.4
FL00968,NRTLAX296,NRT,LAX,2024-07-10,678,B777,350,300,15214063.85,548788.5
FL00969,BOSMIA977,BOS,MIA,2024-12-03,182,B737,162,162,744295.87,163306.54
FL00970,DELBLR942,DEL,BLR,2024-08-19,168,B737,162,128,576055.91,161257.43
FL00971,DELHYD177,DEL,HYD,2024-01-25,130,A320,180,155,1028579.41,165954.54
FL00972,BLRFRA643,BLR,FRA,2024-07-23,590,B777,350,222,10901825.69,530195.71
FL00973,MAASIN314,MAA,SIN,2024-07-17,278,B737,162,105,727117.71,179041.64
FL00974,GOIBOM673,GOI,BOM,2024-08-09,64,A320,180,153,800736.86,155576.97
FL00975,LAXNRT573,LAX,NRT,2024-07-07,694,B777,350,249,12920743.67,566180.1
FL00976,BLRFRA643,BLR,FRA,2024-08-04,591,B777,350,263,10762952.54,531464.42
FL00977,DELDXB146,DEL,DXB,2024-08-25,201,A320,180,137,2614855.55,179165.32
FL00978,JFKLHR189,JFK,LHR,2024-02-12,439,A380,555,365,26101674.0,730565.07
FL00979,DELHYD177,DEL,HYD,2024-06-02,115,B737,162,143,612622.74,152519.38
FL00980,DELKTM414,DEL,KTM,2024-02-25,110,A320,180,117,1841643.95,163971.78
FL00981,ORDATL400,ORD,ATL,2024-02-11,158,A320,180,96,125433.7,168117.15
FL00982,CCUBOM220,CCU,BOM,2024-01-24,157,B737,162,106,496089.13,158679.72
FL00983,SINSYD262,SIN,SYD,2024-11-15,498,A380,555,410,34668109.71,785670.07
FL00984,CCUBOM220,CCU,BOM,2024-11-05,155,A320,180,154,700123.59,167898.04
FL00985,BLRBOM564,BLR,BOM,2024-12-01,112,A320,180,180,1235672.8,163082.73
FL00986,DXBLHR145,DXB,LHR,2024-11-12,453,B777,350,293,15352579.39,491231.24
FL00987,DENDFW439,DEN,DFW,2024-02-14,118,B737,162,42,82954.85,152303.79
FL00988,MAASIN314,MAA,SIN,2024-09-03,300,A320,180,153,2785596.87,192339.51
FL00989,BOMLHR621,BOM,LHR,2024-06-03,564,B777,350,259,12860596.56,506605.18
FL00990,LHRDXB596,LHR,DXB,2024-09-05,450,A380,555,511,36574224.32,713712.88
FL00991,DXBBOM181,DXB,BOM,2024-01-27,175,B737,162,128,3286398.14,160795.36
FL00992,MAASIN314,MAA,SIN,2024-10-23,290,B777,350,299,13060606.44,415890.13
FL00993,DELDXB146,DEL,DXB,2024-11-09,186,B737,162,152,3283180.06,163014.67
FL00994,DXBDEL706,DXB,DEL,2024-10-22,200,A320,180,121,2940327.52,228708.56
FL00995,BLRBOM564,BLR,BOM,2024-11-26,99,A320,180,156,124521.8,161329.14
FL00996,LASPHX403,LAS,PHX,2024-04-28,75,A320,180,149,778440.07,155994.72
FL00997,LAXNRT573,LAX,NRT,2024-05-30,696,B777,350,291,14406180.24,591230.52
FL00998,LHRDXB596,LHR,DXB,2024-08-29,455,B777,350,288,5555465.39,468169.65
FL00999,MAADEL655,MAA,DEL,2024-03-07,167,B737,162,93,107988.49,160803.6
FL01000,GOIBOM673,GOI,BOM,2024-10-12,58,A320,180,58,155205.56,267510.33
FL01001,CCUBOM220,CCU,BOM,2024-09-14,146,B737,162,51,80195.49,158800.93
FL01002,LHRBOM617,LHR,BOM,2024-05-12,577,B777,350,344,20631539.28,535595.25
FL01003,AMDDEL683,AMD,DEL,2024-12-19,103,B737,162,162,663377.93,149320.48
FL01004,JFKDEL155,JFK,DEL,2024-02-26,570,B777,350,266,11352641.06,542559.97
FL01005,BOMDXB422,BOM,DXB,2024-09-16,167,B737,162,77,1665730.88,162998.71
